George Kennan (author)	Mikolajczk,Nagy (mentioned, not present)
Kennan, Wisner, Savage, Joyce, Davies, Thompson, Barnes (all present), General Carter (mentioned)	
Wisner, Dewitt Poole, J. Hoover, Ladd, Richard Lawrence (all present), Sheltt? Behoff? (mentioned, blurry)	
Robert Kelly (author), 	
Wisner (author), DeWitt (recipient), Fred Dolbeare (mentioned)	
Reuben Markham	Midhat Fresheri, Abas Kuni, Sajd Kyresin, Nusi Ketts, Hassan Dosti, Zef Pali, 
	Vido, Fahri Repishti (pres.), Mark Ujka (vice pres., Gjon Kici (sub-com) pres.)
	Zef Pali, Gjon Markagjoni, Nik Sokolli (all mentioned)
	Apostol Tenef, Nik Sokolli, Lufti Spahiu (all mentioned)
	Zog, Dosti, Kupi, Ermenji (all mentioned)
Delgado? Gellert?	Imre Nagy
Edward Thompson Wailes, Leonard Meeker	Imre Nagy, 
Robert Murphy, Allen Dulles, Cord Meyer Jr. (author), Frank Wiener, R Borden Rearns?, Jack Morner?, W. Teplay Bennet Jr?	
"Wisner (Frank G.) (author), Cord Meyer, 
Edmund Taylor (mentioned), Roscoe
Drumond (mentioned), Barrett McGurn (mentioned), Bill Griffiths"	Gomulka?
T.M. Recknagel (author)	
redacted :/	
O'Shanughnessy (Bonn Embassy?)	Nagy, Maleter
"Randy (recipient), Tom Recknagel, Emery R. Kiraly, Emile W. Juhast?, "	
Lyman Kirkpatrick, Allen Dulles, Murphy	Grittenberger?
Meyer? (in routing slip), writing illegible	
Cord Meyer, Allen Dulles, 	
Eisenhower (mentioned)	(not EE) Syngman Rhee, Magsaysay
redacted	Imre Nagy, Janos Kadar ?
Allen Dulles (under Walter?), Robert A. Aschan?	
Hier	
Thompson? Hier	(unsure if EE, but they are RFE staff) Tormay, Ponikiewski, Leiser
Frederick Lorenz Hier	
(journalists) Dean Koch, Carl Koch, William Rademaekers, Bernard, Leason, Varick Steele	Zoltan de Rivo, Kalman Konkoly, Reszoe Palasthy, Otto Graf, Ion Popa
Hoover, Frederick Lorenz Hier (journalist)	Gabor (Gabriel) Tormay, Jerzy Gustan Ponikiewski
redacted	
Eisenhower (mentioned)	Nagy, Gomulka
Cord Meyer, Sargeant (AMCOMLIB)	
	
present: US VP, Sec of State, Sec of Defense, Dir. of Office of Defense Mobilization, Sec. of Treasury, AG, Amos J. Peaslee, Dir. of Bureau of Budget, Special Assistant to President for Atomic Energy, Dir. of USIA, Under Sec of State, Dep. Sec. of Defense, Assis. Sec. of State Bowie, Chair of Joint Chiefs of Staff, Dir. of CIA, Dep. Assis. to President, Special Assis. to President Anderson and Jackson, White House Staff Sec., Executive Sec. of NSC, Dep. Exec. Sec. of NSC (another Dulles? Sec. Dulles versus Allen Dulles)	
recipient: Dept of State, N. Spencer Barnes?, RFE commentators: Ulysses, Notarius	Minister Ravndal?
