firstname,lastname,affiliation,job,organization,
,Adenauer,west,,,feel free to add more names and information
Richard,Arens,west,,,and please correct mistakes
Robert,Aschan,west,,,
,Barbour,west,,,
,Barnes,west,,,
Tracey,Barnes,west,,,
Edward,Barrett,west,,,
,Behoff,west,,,
W.,Bennet,west,,,
Charles,Bohlen,west,,,
,Bohlen,west,,,
John,Bross,west,,,
,Brown,west,,,
David K.E.,Bruce,west,,,
,Carter,west,,,
James,Conant,west,,,
,Davies,west,,,
Zoltan,de Rivo,east,,,
,Delgado,west,,,
,Devine,west,,,
Frederic,Dolbeare,west,,,
Hassan,Dosti,east,,,
Roscoe,Drumond,west,,,
Allen,Dulles,west,,,
John Foster,Dulles,west,,,
Eleanor,Dulles,west,,,
Dana,Durand,west,,,
,Eisenhower,west,,,
,Ermenji,east,,,
William C.,Foster,west,,,
Midhat,Fresheri,east,,,
,Gellert,west,,,
,Gland,east,American agent,,
,Gomulka,east,,,
Karl,Göttling,east,,,
Otto,Graf,east,,,
Bill,Griffiths,west,,,
,Grittenberger,east,,,
Frederick,Hier,west,Journalist,,
J.,Hoover,west,,,
C.D.,Jackson,west,,,
Robert,Joyce,west,,,
Emile,Juhast,west,,,
Janos,Kadar,east,,,
Albert,Kahn,west,American writer in USSR,,
Robert,Kelly,west,,,
George,Kennan,west,,,
Nusi,Ketts,east,,,
Gjon,Kici,east,sub-com pres,,
Emery,Kiraly,west,,,
Lyman,Kirkpatrick,west,,,
Dean,Koch,west,Journalist,,
Carl,Koch,west,Journalist,,
Foy,Kohler,west,,,
,Kolzenburg,east,American agent,,
Kalman,Konkoly,east,,,
Abas,Kuni,east,,,
,Kupi,east,,,
Roger,Kyes,west,,,
Sajd,Kyresin,east,,,
,Ladd,west,,,
Richard,Lawrence,west,,,
,Leiser,east,RFE Staff,,
Cecil,Lyon,west,,,
,Magsaysay,east,,,
,Maleter,east,,,
Reuben,Markham,west,,,
,Mathews,west,,,
Barret,McGurn,west,,,
Leonard,Meeker,west,,,
Cord,Meyer,west,,,
,Mikolajczk,east,,,
George,Morgan,west,,,
Jack,Morner,west,,,
Robert,Murphy,west,,,
Imre,Nagy,east,,,
Otto,Nuschke,east,,,
,O'Connor,west,,,
,O'Shanughnessy,west,,,
Reszoe,Palasthy,east,,,
Zef,Pali,east,,,
,Phillips,west,,,
Jerzy,Ponikiewski,east,,,
Dewitt,Poole,west,,,
Ion,Popa,east,,,
William,Rademaekers,west,Journalist,,
,Raue,east,American agent,,
,Ravndal,east,,,
R Borden,Rearns,west,,,
Tom,Recknagel,west,,,
,Reinhardt,west,,,
Fahri,Repishti,east,pres,,
Syngman,Rhee,east,,,
,Savage,west,,,
,Sheltt,west,,,
Walter Bedell,Smith,west,,,
Nik,Sokolli,east,,,
Lufti,Spahiu,east,,,
Harold,Stassen,west,,,
Varick,Steele,west,Journalist,,
Sidney,Stein,west,,,
Leslie,Stevens,west,,,
Francis B.,Stevens,west,,,
Edmund,Taylor,west,,,
Apostol,Tenef,east,,,
,Thompson,west,,,
Gabor,Tormay,east,,,
Mark,Ujka,east,vice pres,,
,Usch-inger,east,American agent,,
,Vido,east,,,
Edward Thompson,Wailes,west,,,
Fritz,Willi,east,,,
Frank,Wisner,west,,,
,Zog,east,,,
Randy,,west,,,
Bernard,,west,Journalist,,
Leason,,west,Journalist,,
